epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,21.8744,2.13657,4.73296,4.26393,1.98984,0.01755,0.16461,0.01366,0.01027,0.01591,0.11207,0.01092,0.00938,2.17764,4.55354,4.15669,2.05878,4.545e-05,4.545e-05,4.545e-05
2,28.9268,1.90249,4.28055,3.82377,1.87658,0.22913,0.19319,0.11559,0.04655,0.0308,0.23118,0.04054,0.02435,2.24992,5.09037,5.33876,2.23615,9.80102e-05,9.80102e-05,9.80102e-05
3,37.19,1.73627,3.56091,2.88012,1.64397,0.09397,0.14758,0.05764,0.02547,0.04553,0.07589,0.03578,0.01372,2.33553,5.63453,3.72368,2.27311,0.000148411,0.000148411,0.000148411
4,43.6709,1.65717,3.35188,2.51341,1.54791,0.55468,0.11987,0.074,0.0398,0.55127,0.11494,0.05939,0.02274,2.23836,5.59226,4.64806,2.20357,0.000196651,0.000196651,0.000196651
5,51.127,1.62898,3.12612,2.25131,1.49752,0.30255,0.20229,0.15098,0.07512,0.24109,0.14087,0.14753,0.05052,2.29998,6.53414,3.54,2.23763,0.000242732,0.000242732,0.000242732
6,58.846,1.48647,2.9304,1.92498,1.43158,0.30315,0.17232,0.11845,0.05923,0.21871,0.15676,0.09305,0.03873,2.23706,6.30834,3.54594,2.2026,0.000286653,0.000286653,0.000286653
7,66.1802,1.55056,2.87366,1.9307,1.43639,0.08602,0.11485,0.04771,0.02002,0.02355,0.04593,0.01137,0.00332,2.40484,10.4024,3.6591,2.29639,0.000328414,0.000328414,0.000328414
8,74.208,1.49081,2.77775,1.64738,1.39755,0.6721,0.10016,0.13767,0.05673,0.05977,0.05784,0.03599,0.01645,2.55843,13.972,3.96934,2.61382,0.000368016,0.000368016,0.000368016
9,81.0734,1.474,2.76996,1.69293,1.3956,0.6282,0.10291,0.08889,0.02144,0.75147,0.09392,0.07745,0.01164,2.74904,12.1926,3.91675,2.76222,0.000405458,0.000405458,0.000405458
10,89.9068,1.45486,2.56064,1.58239,1.37986,0.11134,0.18122,0.09003,0.03074,0.09915,0.14683,0.06941,0.02257,2.7109,9.54717,4.15589,2.91638,0.00044074,0.00044074,0.00044074
11,96.4135,1.45764,2.69226,1.60323,1.39231,0.34368,0.14967,0.10742,0.02584,0.3189,0.10122,0.07395,0.02348,2.69602,7.76272,3.92728,2.92908,0.000473862,0.000473862,0.000473862
12,104.42,1.44284,2.52386,1.60564,1.34289,0.45373,0.0743,0.10957,0.03932,0.43549,0.06445,0.07328,0.0269,2.77914,6.7031,3.92928,2.77236,0.000504824,0.000504824,0.000504824
